Player,Pos,Age,Team,Birth Date
Player_1,PG,22,Minnesota Timberwolves,1995-08-03
Player_2,SG,30,Atlanta Hawks,1987-01-01
Player_3,SF,24,Denver Nuggets,1993-05-18
Player_4,SF,23,Indiana Pacers,1994-02-02
Player_5,C,33,Phoenix Suns,1983-10-04
Player_6,PF,36,Boston Celtics,1981-05-18
Player_7,PG,28,Phoenix Suns,1988-12-20
Player_8,SG,25,Atlanta Hawks,1992-05-08
Player_9,PG,31,Phoenix Suns,1986-06-15
Player_10,PF,29,Sacramento Kings,1988-06-14
Player_11,SF,30,New York Knicks,1987-09-22
Player_12,C,37,Brooklyn Nets,1980-08-14
Player_13,SF,22,Philadelphia 76ers,1995-09-25
Player_14,SF,19,Washington Wizards,1998-08-20
Player_15,PG,26,New York Knicks,1991-04-23
Player_16,C,23,Sacramento Kings,1994-01-18
Player_17,SG,34,Los Angeles Clippers,1983-03-13
Player_18,SG,27,Phoenix Suns,1990-01-26
Player_19,SF,23,Chicago Bulls,1994-09-09
Player_20,PG,39,New York Knicks,1978-06-22
Player_21,PF,19,Denver Nuggets,1998-05-22
Player_22,PG,26,Los Angeles Clippers,1991-06-02
Player_23,SG,35,Brooklyn Nets,1982-01-26
Player_24,C,20,Indiana Pacers,1996-11-28
Player_25,PF,37,Oklahoma City Thunder,1980-04-05
Player_26,C,29,Sacramento Kings,1988-09-09
Player_27,SG,23,Brooklyn Nets,1994-01-06
Player_28,C,31,Miami Heat,1986-07-27
Player_29,SF,39,New Orleans Pelicans,1978-06-17
Player_30,PG,26,Brooklyn Nets,1991-01-06
Player_31,PF,28,Orlando Magic,1988-11-25
Player_32,SG,23,Indiana Pacers,1994-06-24
Player_33,SG,24,Washington Wizards,1993-06-13
Player_34,C,25,Chicago Bulls,1992-04-18
Player_35,SF,32,Minnesota Timberwolves,1985-01-06
Player_36,SF,18,Indiana Pacers,1999-03-23
Player_37,PF,29,New York Knicks,1988-04-20
Player_38,C,39,Washington Wizards,1978-04-05
Player_39,SF,38,Atlanta Hawks,1978-10-08
Player_40,PG,27,Sacramento Kings,1990-08-27
Player_41,PG,36,Atlanta Hawks,1981-02-25
Player_42,PF,35,Washington Wizards,1982-07-18
Player_43,PF,36,Dallas Mavericks,1981-08-10
Player_44,PF,28,Orlando Magic,1988-10-05
Player_45,C,22,Sacramento Kings,1994-10-15
Player_46,PF,36,San Antonio Spurs,1981-05-28
Player_47,SG,20,New Orleans Pelicans,1997-07-23
Player_48,C,28,Denver Nuggets,1989-05-21
Player_49,SF,21,New Orleans Pelicans,1996-03-14
Player_50,PF,31,Miami Heat,1986-02-11
Player_51,PF,18,Utah Jazz,1999-08-06
Player_52,PG,20,New York Knicks,1997-05-14
Player_53,PG,39,Miami Heat,1978-01-08
Player_54,PF,24,New Orleans Pelicans,1993-08-04
Player_55,PG,21,Oklahoma City Thunder,1996-04-13
Player_56,SG,32,Golden State Warriors,1985-06-27
Player_57,SF,37,Memphis Grizzlies,1980-05-25
Player_58,C,39,Oklahoma City Thunder,1978-08-14
Player_59,SF,29,Los Angeles Clippers,1988-05-04
Player_60,SG,25,Memphis Grizzlies,1992-02-08
Player_61,C,29,Charlotte Hornets,1988-09-19
Player_62,C,33,Brooklyn Nets,1984-01-06
Player_63,PG,25,New Orleans Pelicans,1992-03-07
Player_64,SF,31,Minnesota Timberwolves,1986-06-01
Player_65,PF,24,Brooklyn Nets,1993-08-03
Player_66,SF,29,Detroit Pistons,1987-12-11
Player_67,PF,23,Brooklyn Nets,1994-02-26
Player_68,SF,29,Washington Wizards,1987-12-16
Player_69,PG,30,Philadelphia 76ers,1987-05-18
Player_70,C,29,Portland Trail Blazers,1988-02-21
Player_71,PG,26,Denver Nuggets,1991-05-05
Player_72,PF,36,Atlanta Hawks,1980-10-12
Player_73,PF,18,Phoenix Suns,1998-11-05
Player_74,SG,25,Boston Celtics,1991-11-12
Player_75,PF,37,Toronto Raptors,1980-07-09
Player_76,PG,29,Toronto Raptors,1987-11-16
Player_77,PF,31,Orlando Magic,1986-07-15
Player_78,SG,29,Atlanta Hawks,1988-09-03
Player_79,PF,35,Atlanta Hawks,1982-05-27
Player_80,PF,19,Orlando Magic,1998-05-19
Player_81,PF,39,Boston Celtics,1978-07-24
Player_82,SF,17,New Orleans Pelicans,1999-12-17
Player_83,PF,38,Atlanta Hawks,1979-04-17
Player_84,PF,20,Milwaukee Bucks,1997-05-24
Player_85,C,35,Indiana Pacers,1981-11-11
Player_86,SF,28,Charlotte Hornets,1989-01-01
Player_87,PG,26,San Antonio Spurs,1991-08-12
Player_88,SG,31,Minnesota Timberwolves,1985-12-08
Player_89,PG,35,Oklahoma City Thunder,1982-04-07
Player_90,C,36,Washington Wizards,1981-01-07
Player_91,C,29,Orlando Magic,1988-01-09
Player_92,SG,18,Phoenix Suns,1999-05-05
Player_93,C,37,Utah Jazz,1980-08-11
Player_94,PF,20,Oklahoma City Thunder,1997-03-21
Player_95,SF,36,Dallas Mavericks,1980-10-24
Player_96,PG,18,Miami Heat,1999-02-03
Player_97,C,27,Orlando Magic,1990-05-27
Player_98,PF,31,Utah Jazz,1985-11-24
Player_99,SG,32,Milwaukee Bucks,1984-10-19
Player_100,SF,29,Portland Trail Blazers,1988-06-10
Player_101,C,24,Memphis Grizzlies,1993-03-15
Player_102,C,34,Philadelphia 76ers,1983-08-24
Player_103,SG,33,San Antonio Spurs,1983-12-21
Player_104,PG,24,Los Angeles Lakers,1993-06-20
Player_105,SF,30,Washington Wizards,1986-12-14
Player_106,C,27,Dallas Mavericks,1990-04-26
Player_107,C,27,Golden State Warriors,1989-11-02
Player_108,SF,30,Indiana Pacers,1987-07-14
Player_109,C,33,Philadelphia 76ers,1984-07-25
Player_110,C,22,Los Angeles Clippers,1995-03-01
